Experiment,Timestamp,temperature [C],delta_t [C/s],notes
1,1752501887887631177,1.0269999504089355,-0.013801196760014876,"vetro, thick 1mm, temp 38C"
1,1752501887987167596,1.0219999551773071,-0.02598984708325365,"vetro, thick 1mm, temp 38C"
1,1752501888087658405,1.0180000066757202,-0.03682310680700439,"vetro, thick 1mm, temp 38C"
1,1752501888187660455,1.0140000581741333,-0.046017231761868324,"vetro, thick 1mm, temp 38C"
1,1752501888287643432,1.0110000371932983,-0.051780839896686214,"vetro, thick 1mm, temp 38C"
1,1752501888387718200,1.0080000162124634,-0.05534477005754831,"vetro, thick 1mm, temp 38C"
1,1752501888487613916,1.003999948501587,-0.05931018841076917,"vetro, thick 1mm, temp 38C"
1,1752501888587541580,1.0,-0.0631152337497343,"vetro, thick 1mm, temp 38C"
1,1752501888687576055,0.996999979019165,-0.0646993726938539,"vetro, thick 1mm, temp 38C"
1,1752501888787607669,0.9959999918937683,-0.06145263405973974,"vetro, thick 1mm, temp 38C"
1,1752501888887604236,0.9929999709129333,-0.05973103282915014,"vetro, thick 1mm, temp 38C"
1,1752501888987642049,0.9929999709129333,-0.05973103282915014,"vetro, thick 1mm, temp 38C"
1,1752501889087628126,0.9909999966621399,-0.057111608922965816,"vetro, thick 1mm, temp 38C"
1,1752501889187666654,0.9890000224113464,-0.05428800005729682,"vetro, thick 1mm, temp 38C"
1,1752501889287588357,0.9879999756813049,-0.04981859582203706,"vetro, thick 1mm, temp 38C"
1,1752501889387521266,0.9860000014305115,-0.04674486777420469,"vetro, thick 1mm, temp 38C"
1,1752501889487156391,0.9850000143051147,-0.04283167975680258,"vetro, thick 1mm, temp 38C"
1,1752501889587635278,0.984000027179718,-0.038859343275877416,"vetro, thick 1mm, temp 38C"
1,1752501889687586784,0.9819999933242798,-0.03701561844518406,"vetro, thick 1mm, temp 38C"
1,1752501889787188291,0.9800000190734863,-0.036380741269506016,"vetro, thick 1mm, temp 38C"
1,1752501889887591123,0.9800000190734863,-0.03279538473916826,"vetro, thick 1mm, temp 38C"
1,1752501889987597465,0.9779999852180481,-0.03168703635256643,"vetro, thick 1mm, temp 38C"
1,1752501890087263584,0.9760000109672546,-0.03189206602282882,"vetro, thick 1mm, temp 38C"
1,1752501890187604427,0.9760000109672546,-0.029122244619202747,"vetro, thick 1mm, temp 38C"
1,1752501890287622690,0.9739999771118164,-0.028744091055486524,"vetro, thick 1mm, temp 38C"
1,1752501890387674331,0.9739999771118164,-0.025971827614271907,"vetro, thick 1mm, temp 38C"
1,1752501890487673044,0.972000002861023,-0.02587590769422035,"vetro, thick 1mm, temp 38C"
1,1752501890587225198,0.972000002861023,-0.02350007524091529,"vetro, thick 1mm, temp 38C"
1,1752501890687602758,0.9710000157356262,-0.022020887392827707,"vetro, thick 1mm, temp 38C"
1,1752501890787656307,0.9710000157356262,-0.01931420548191023,"vetro, thick 1mm, temp 38C"
1,1752501890887734174,0.968999981880188,-0.019849713791977575,"vetro, thick 1mm, temp 38C"
1,1752501890988001585,0.9679999947547913,-0.020125615448346745,"vetro, thick 1mm, temp 38C"
1,1752501891087565422,0.9679999947547913,-0.020125615448346745,"vetro, thick 1mm, temp 38C"
1,1752501891187636852,0.9679999947547913,-0.018449501869616334,"vetro, thick 1mm, temp 38C"
1,1752501891287653207,0.9670000076293945,-0.017767727873487082,"vetro, thick 1mm, temp 38C"
1,1752501891387676477,0.9639999866485596,-0.021234600872272868,"vetro, thick 1mm, temp 38C"
1,1752501891487608909,0.9639999866485596,-0.02102225456317328,"vetro, thick 1mm, temp 38C"
1,1752501891587683916,0.9649999737739563,-0.01722622513531484,"vetro, thick 1mm, temp 38C"
1,1752501891687197923,0.9639999866485596,-0.015615787279200119,"vetro, thick 1mm, temp 38C"
1,1752501891787706375,0.9639999866485596,-0.013421251874575898,"vetro, thick 1mm, temp 38C"
