Experiment,Timestamp,temperature [C],delta_t [C/s],notes
2,1751970907747456550,1.034999966621399,-0.0213215992461111,"plastica, thick 1.6mm, temp 38C"
2,1751970907848214626,1.0299999713897705,-0.0333271814713114,"plastica, thick 1.6mm, temp 38C"
2,1751970907948209047,1.024999976158142,-0.0452104618461731,"plastica, thick 1.6mm, temp 38C"
2,1751970908048242092,1.0219999551773071,-0.0523643654292024,"plastica, thick 1.6mm, temp 38C"
2,1751970908248202323,1.0180000066757202,-0.058356892599115,"plastica, thick 1.6mm, temp 38C"
2,1751970908347993850,1.0140000581741333,-0.063241017881308,"plastica, thick 1.6mm, temp 38C"
2,1751970908448210477,1.008999943733215,-0.0689427536539175,"plastica, thick 1.6mm, temp 38C"
2,1751970908548262834,1.00600004196167,-0.0709315795424253,"plastica, thick 1.6mm, temp 38C"
2,1751970908648231029,1.003999948501587,-0.0691224302971253,"plastica, thick 1.6mm, temp 38C"
2,1751970908748169183,1.0010000467300415,-0.0674147516289688,"plastica, thick 1.6mm, temp 38C"
2,1751970908847938299,0.9990000128746032,-0.0641107223747537,"plastica, thick 1.6mm, temp 38C"
2,1751970908948163509,0.9950000047683716,-0.0639217976176776,"plastica, thick 1.6mm, temp 38C"
2,1751970909048167705,0.9929999709129332,-0.061676323640908,"plastica, thick 1.6mm, temp 38C"
2,1751970909148208856,0.9919999837875366,-0.0568251490903232,"plastica, thick 1.6mm, temp 38C"
2,1751970909248168468,0.9890000224113464,-0.0547337406195499,"plastica, thick 1.6mm, temp 38C"
2,1751970909348223686,0.9879999756813048,-0.0505829979271861,"plastica, thick 1.6mm, temp 38C"
2,1751970909448195695,0.9860000014305116,-0.0475966178459093,"plastica, thick 1.6mm, temp 38C"
2,1751970909548164367,0.9850000143051147,-0.043649572825666,"plastica, thick 1.6mm, temp 38C"
2,1751970909648221969,0.9819999933242798,-0.0431870969769398,"plastica, thick 1.6mm, temp 38C"
2,1751970909748215198,0.9800000190734864,-0.0426735987345675,"plastica, thick 1.6mm, temp 38C"
2,1751970909848285436,0.9800000190734864,-0.0385813607096938,"plastica, thick 1.6mm, temp 38C"
2,1751970909948196887,0.9789999723434448,-0.0349039257277081,"plastica, thick 1.6mm, temp 38C"
2,1751970910048273563,0.9760000109672546,-0.0353605597481838,"plastica, thick 1.6mm, temp 38C"
2,1751970910148203372,0.975000023841858,-0.0342018368665946,"plastica, thick 1.6mm, temp 38C"
2,1751970910348117351,0.9739999771118164,-0.0323559814506972,"plastica, thick 1.6mm, temp 38C"
2,1751970910448163509,0.9739999771118164,-0.0285394739663446,"plastica, thick 1.6mm, temp 38C"
2,1751970910548170089,0.972000002861023,-0.0277007862934691,"plastica, thick 1.6mm, temp 38C"
2,1751970910648222923,0.9700000286102296,-0.0283967122187761,"plastica, thick 1.6mm, temp 38C"
2,1751970910748212575,0.968999981880188,-0.0279820959365613,"plastica, thick 1.6mm, temp 38C"
2,1751970910848193168,0.9679999947547911,-0.0270605221496996,"plastica, thick 1.6mm, temp 38C"
2,1751970910948218584,0.9670000076293944,-0.0259734808263786,"plastica, thick 1.6mm, temp 38C"
2,1751970911048207759,0.9649999737739564,-0.026703278243366,"plastica, thick 1.6mm, temp 38C"
2,1751970911148208618,0.9649999737739564,-0.0246575839357869,"plastica, thick 1.6mm, temp 38C"
2,1751970911248210906,0.9639999866485596,-0.0232359879965665,"plastica, thick 1.6mm, temp 38C"
2,1751970911348252773,0.9629999995231628,-0.0222481438923716,"plastica, thick 1.6mm, temp 38C"
2,1751970911447970390,0.9610000252723694,-0.0233617209824309,"plastica, thick 1.6mm, temp 38C"
2,1751970911548166751,0.9610000252723694,-0.0218048188681412,"plastica, thick 1.6mm, temp 38C"
2,1751970911648157596,0.9610000252723694,-0.0190795031340065,"plastica, thick 1.6mm, temp 38C"
2,1751970911748156070,0.959999978542328,-0.0178270272562945,"plastica, thick 1.6mm, temp 38C"
2,1751970911848191976,0.9580000042915344,-0.0192088352745774,"plastica, thick 1.6mm, temp 38C"
2,1751970911948090553,0.9589999914169312,-0.0163571492031099,"plastica, thick 1.6mm, temp 38C"
2,1751970912047879457,0.9580000042915344,-0.0152876564255249,"plastica, thick 1.6mm, temp 38C"
2,1751970912148186683,0.9559999704360962,-0.0169877768259999,"plastica, thick 1.6mm, temp 38C"
2,1751970912248008728,0.9559999704360962,-0.0162919359078926,"plastica, thick 1.6mm, temp 38C"
2,1751970912448192596,0.9559999704360962,-0.0144846996263096,"plastica, thick 1.6mm, temp 38C"
2,1751970912548195838,0.9549999833106996,-0.0140955077076803,"plastica, thick 1.6mm, temp 38C"
2,1751970912648324966,0.9539999961853028,-0.0144361847995746,"plastica, thick 1.6mm, temp 38C"
2,1751970912748248577,0.953000009059906,-0.0151038367683552,"plastica, thick 1.6mm, temp 38C"
2,1751970912848229646,0.9520000219345092,-0.0158716177496199,"plastica, thick 1.6mm, temp 38C"
2,1751970912948249578,0.953000009059906,-0.0130194080072595,"plastica, thick 1.6mm, temp 38C"
2,1751970913048212528,0.9509999752044678,-0.0140501394526383,"plastica, thick 1.6mm, temp 38C"
2,1751970913148201465,0.9509999752044678,-0.0132906853101363,"plastica, thick 1.6mm, temp 38C"
2,1751970913248202800,0.9509999752044678,-0.0117223911023981,"plastica, thick 1.6mm, temp 38C"
2,1751970913348204135,0.949999988079071,-0.0116988885671045,"plastica, thick 1.6mm, temp 38C"
2,1751970913448162555,0.949999988079071,-0.0106344723537714,"plastica, thick 1.6mm, temp 38C"
2,1751970913548233270,0.9480000138282776,-0.0127557595488268,"plastica, thick 1.6mm, temp 38C"
2,1751970913648254632,0.9470000267028807,-0.0144471487407238,"plastica, thick 1.6mm, temp 38C"
2,1751970913747991800,0.9470000267028807,-0.0139756860580881,"plastica, thick 1.6mm, temp 38C"
2,1751970913848205804,0.9470000267028807,-0.0124868575983687,"plastica, thick 1.6mm, temp 38C"
2,1751970913947988986,0.9459999799728394,-0.0124335985833278,"plastica, thick 1.6mm, temp 38C"
2,1751970914047799110,0.9449999928474426,-0.0130884546191723,"plastica, thick 1.6mm, temp 38C"
2,1751970914148287296,0.9449999928474426,-0.0122313731610106,"plastica, thick 1.6mm, temp 38C"
2,1751970914248225450,0.9449999928474426,-0.0107105796620204,"plastica, thick 1.6mm, temp 38C"
2,1751970914347959518,0.9430000185966492,-0.0126013923293614,"plastica, thick 1.6mm, temp 38C"
2,1751970914548207283,0.9430000185966492,-0.012393765226716,"plastica, thick 1.6mm, temp 38C"
2,1751970914647949218,0.9430000185966492,-0.0111765890760152,"plastica, thick 1.6mm, temp 38C"
2,1751970914748238086,0.9419999718666076,-0.0113743638594051,"plastica, thick 1.6mm, temp 38C"
2,1751970914848217964,0.9409999847412108,-0.0122475575816339,"plastica, thick 1.6mm, temp 38C"
2,1751970914948216438,0.9419999718666076,-0.0097731654974648,"plastica, thick 1.6mm, temp 38C"
2,1751970915048226594,0.9419999718666076,-0.0076811284814502,"plastica, thick 1.6mm, temp 38C"
2,1751970915148236274,0.9409999847412108,-0.0077647056059867,"plastica, thick 1.6mm, temp 38C"
2,1751970915248218297,0.9390000104904176,-0.0107067885438991,"plastica, thick 1.6mm, temp 38C"
2,1751970915348179340,0.9399999976158142,-0.0093848213888112,"plastica, thick 1.6mm, temp 38C"
2,1751970915447928667,0.9399999976158142,-0.0078924235578251,"plastica, thick 1.6mm, temp 38C"
2,1751970915548170328,0.9399999976158142,-0.0064508305004377,"plastica, thick 1.6mm, temp 38C"
2,1751970915647940158,0.9390000104904176,-0.0069638519829926,"plastica, thick 1.6mm, temp 38C"
2,1751970915748231410,0.9390000104904176,-0.0065884858309752,"plastica, thick 1.6mm, temp 38C"
2,1751970915848069667,0.9390000104904176,-0.0058115926916988,"plastica, thick 1.6mm, temp 38C"
2,1751970915948188304,0.9380000233650208,-0.0067078485369147,"plastica, thick 1.6mm, temp 38C"
2,1751970916048165559,0.9359999895095824,-0.0101433684725369,"plastica, thick 1.6mm, temp 38C"
2,1751970916148169040,0.9359999895095824,-0.0109138700784636,"plastica, thick 1.6mm, temp 38C"
2,1751970916248424053,0.9380000233650208,-0.0067091066185172,"plastica, thick 1.6mm, temp 38C"
2,1751970916348219633,0.9359999895095824,-0.0076450138672658,"plastica, thick 1.6mm, temp 38C"
2,1751970916448181152,0.9359999895095824,-0.0074155571710988,"plastica, thick 1.6mm, temp 38C"
2,1751970916648197174,0.9350000023841858,-0.0084357000702922,"plastica, thick 1.6mm, temp 38C"
2,1751970916748197793,0.9350000023841858,-0.0081763570845707,"plastica, thick 1.6mm, temp 38C"
2,1751970916848248243,0.9350000023841858,-0.0073134068839558,"plastica, thick 1.6mm, temp 38C"
2,1751970916948212146,0.9340000152587892,-0.0080323314918126,"plastica, thick 1.6mm, temp 38C"
2,1751970917048188686,0.9350000023841858,-0.0058617178896853,"plastica, thick 1.6mm, temp 38C"
2,1751970917148207902,0.9340000152587892,-0.0060705394402852,"plastica, thick 1.6mm, temp 38C"
2,1751970917248222112,0.9340000152587892,-0.0056265134504534,"plastica, thick 1.6mm, temp 38C"
2,1751970917348167419,0.9319999814033508,-0.0085026154446837,"plastica, thick 1.6mm, temp 38C"
2,1751970917448168516,0.9319999814033508,-0.0091466700318351,"plastica, thick 1.6mm, temp 38C"
2,1751970917548189640,0.9319999814033508,-0.0086390564766743,"plastica, thick 1.6mm, temp 38C"
2,1751970917648177862,0.930999994277954,-0.0094127875774591,"plastica, thick 1.6mm, temp 38C"
2,1751970917747900485,0.930999994277954,-0.0089447649348724,"plastica, thick 1.6mm, temp 38C"
2,1751970917848252534,0.930999994277954,-0.0079104049958665,"plastica, thick 1.6mm, temp 38C"
2,1751970917947952985,0.930999994277954,-0.0066916321761257,"plastica, thick 1.6mm, temp 38C"
2,1751970918048165082,0.930999994277954,-0.0054921865986013,"plastica, thick 1.6mm, temp 38C"
2,1751970918148187160,0.9290000200271606,-0.0080101151231685,"plastica, thick 1.6mm, temp 38C"
2,1751970918248197793,0.9300000071525574,-0.006723012913407,"plastica, thick 1.6mm, temp 38C"
2,1751970918348275661,0.9300000071525574,-0.0054872616684171,"plastica, thick 1.6mm, temp 38C"
2,1751970918448186874,0.9300000071525574,-0.0043878900082144,"plastica, thick 1.6mm, temp 38C"
2,1751970918548347711,0.9279999732971193,-0.0070543487337647,"plastica, thick 1.6mm, temp 38C"
2,1751970918748153448,0.9279999732971193,-0.0077260221232454,"plastica, thick 1.6mm, temp 38C"
2,1751970918847946405,0.9290000200271606,-0.0055597159789244,"plastica, thick 1.6mm, temp 38C"
2,1751970918948182821,0.9279999732971193,-0.0057979356441785,"plastica, thick 1.6mm, temp 38C"
2,1751970919048178672,0.9269999861717224,-0.007192825897891,"plastica, thick 1.6mm, temp 38C"
2,1751970919148178339,0.9269999861717224,-0.0072289677914,"plastica, thick 1.6mm, temp 38C"
2,1751970919248186111,0.9269999861717224,-0.0065960702179934,"plastica, thick 1.6mm, temp 38C"
2,1751970919348191499,0.9269999861717224,-0.0056923040874047,"plastica, thick 1.6mm, temp 38C"
2,1751970919448026657,0.9259999990463256,-0.0065371281412638,"plastica, thick 1.6mm, temp 38C"
2,1751970919548171043,0.9259999990463256,-0.0063627503949411,"plastica, thick 1.6mm, temp 38C"
2,1751970919648178339,0.9269999861717224,-0.0039046809379841,"plastica, thick 1.6mm, temp 38C"
2,1751970919748217821,0.9259999990463256,-0.0041487824453706,"plastica, thick 1.6mm, temp 38C"
2,1751970919848065376,0.925000011920929,-0.0056949785896208,"plastica, thick 1.6mm, temp 38C"
2,1751970919947934389,0.925000011920929,-0.0059400666272374,"plastica, thick 1.6mm, temp 38C"
2,1751970920048248052,0.925000011920929,-0.0055255537692183,"plastica, thick 1.6mm, temp 38C"
2,1751970920148291110,0.925000011920929,-0.0048251426295592,"plastica, thick 1.6mm, temp 38C"
2,1751970920248171806,0.9240000247955322,-0.00584765516018,"plastica, thick 1.6mm, temp 38C"
2,1751970920348195314,0.921999990940094,-0.0094224582755568,"plastica, thick 1.6mm, temp 38C"
2,1751970920448249816,0.9240000247955322,-0.0067260296175025,"plastica, thick 1.6mm, temp 38C"
2,1751970920548166036,0.9229999780654908,-0.0065995210235553,"plastica, thick 1.6mm, temp 38C"
2,1751970920647904396,0.921999990940094,-0.0077435517461153,"plastica, thick 1.6mm, temp 38C"
2,1751970920848234891,0.9229999780654908,-0.0058072303173053,"plastica, thick 1.6mm, temp 38C"
2,1751970920948181390,0.921999990940094,-0.0061357589143449,"plastica, thick 1.6mm, temp 38C"
2,1751970921048180341,0.921999990940094,-0.0057445196246034,"plastica, thick 1.6mm, temp 38C"
2,1751970921148242473,0.9210000038146972,-0.0068357824321297,"plastica, thick 1.6mm, temp 38C"
2,1751970921248216390,0.9210000038146972,-0.0067552807889258,"plastica, thick 1.6mm, temp 38C"
2,1751970921347904682,0.9210000038146972,-0.0061078597127526,"plastica, thick 1.6mm, temp 38C"
2,1751970921448209762,0.921999990940094,-0.003440939185566,"plastica, thick 1.6mm, temp 38C"
2,1751970921548243999,0.9200000166893004,-0.0054244172519719,"plastica, thick 1.6mm, temp 38C"
2,1751970921648003578,0.9190000295639038,-0.0077081007775474,"plastica, thick 1.6mm, temp 38C"
2,1751970921748213529,0.9190000295639038,-0.0081333766351,"plastica, thick 1.6mm, temp 38C"
2,1751970921848184108,0.9200000166893004,-0.0058097810824276,"plastica, thick 1.6mm, temp 38C"
2,1751970921948231935,0.9179999828338624,-0.0077483999039883,"plastica, thick 1.6mm, temp 38C"
2,1751970922048199176,0.9179999828338624,-0.0080009671351941,"plastica, thick 1.6mm, temp 38C"
2,1751970922148172378,0.9179999828338624,-0.0074046380363177,"plastica, thick 1.6mm, temp 38C"
2,1751970922248221635,0.9190000295639038,-0.004645935240525,"plastica, thick 1.6mm, temp 38C"
2,1751970922348180532,0.9179999828338624,-0.004676120813014,"plastica, thick 1.6mm, temp 38C"
2,1751970922448105573,0.9169999957084656,-0.0060700376960764,"plastica, thick 1.6mm, temp 38C"
2,1751970922548226594,0.9179999828338624,-0.004406776750416,"plastica, thick 1.6mm, temp 38C"
2,1751970922647777080,0.9169999957084656,-0.004995145805219,"plastica, thick 1.6mm, temp 38C"
2,1751970922748234987,0.9169999957084656,-0.0048338835196027,"plastica, thick 1.6mm, temp 38C"
2,1751970922948170185,0.9169999957084656,-0.0043198154828865,"plastica, thick 1.6mm, temp 38C"
2,1751970923047953605,0.9169999957084656,-0.0036791387514356,"plastica, thick 1.6mm, temp 38C"
2,1751970923148227691,0.9169999957084656,-0.0030340846653955,"plastica, thick 1.6mm, temp 38C"
2,1751970923248284101,0.9160000085830688,-0.0042449173690643,"plastica, thick 1.6mm, temp 38C"
2,1751970923348197460,0.915000021457672,-0.0062561596563603,"plastica, thick 1.6mm, temp 38C"
2,1751970923448168754,0.9160000085830688,-0.0048786371823488,"plastica, thick 1.6mm, temp 38C"
2,1751970923548192739,0.9160000085830688,-0.0037645738236718,"plastica, thick 1.6mm, temp 38C"
2,1751970923648240804,0.9139999747276306,-0.0064799320735784,"plastica, thick 1.6mm, temp 38C"
2,1751970923748192310,0.9139999747276306,-0.0072272637294106,"plastica, thick 1.6mm, temp 38C"
2,1751970923848199367,0.915000021457672,-0.0051429183910469,"plastica, thick 1.6mm, temp 38C"
2,1751970923947802305,0.9139999747276306,-0.005458810634129,"plastica, thick 1.6mm, temp 38C"
2,1751970924048215866,0.9139999747276306,-0.0051223048761676,"plastica, thick 1.6mm, temp 38C"
2,1751970924148285865,0.9139999747276306,-0.0044964096159114,"plastica, thick 1.6mm, temp 38C"
2,1751970924248245239,0.9139999747276306,-0.0037850440729539,"plastica, thick 1.6mm, temp 38C"
2,1751970924348180294,0.9139999747276306,-0.0030958209903388,"plastica, thick 1.6mm, temp 38C"
