Experiment,Timestamp,temperature [C],delta_t [C/s],notes
2,1751981267173853397,1.062999963760376,-0.0128758157908763,"vetro, thick 1mm, temp 38C"
2,1751981267274777412,1.0579999685287476,-0.0261895296278991,"vetro, thick 1mm, temp 38C"
2,1751981267374770402,1.0520000457763672,-0.0411560526958138,"vetro, thick 1mm, temp 38C"
2,1751981267474801063,1.0460000038146973,-0.0555856797874746,"vetro, thick 1mm, temp 38C"
2,1751981267574773550,1.0399999618530271,-0.0684535614125215,"vetro, thick 1mm, temp 38C"
2,1751981267674778699,1.034000039100647,-0.079397863835952,"vetro, thick 1mm, temp 38C"
2,1751981267974825620,1.027999997138977,-0.0834358409926972,"vetro, thick 1mm, temp 38C"
2,1751981268074387550,1.0210000276565552,-0.0878508282408254,"vetro, thick 1mm, temp 38C"
2,1751981268174764871,1.0180000066757202,-0.0875076352162368,"vetro, thick 1mm, temp 38C"
2,1751981268274748086,1.0149999856948853,-0.0848638212302301,"vetro, thick 1mm, temp 38C"
2,1751981268374800443,1.0119999647140503,-0.0813306462318691,"vetro, thick 1mm, temp 38C"
2,1751981268474304914,1.0080000162124634,-0.0794795396246607,"vetro, thick 1mm, temp 38C"
2,1751981268574853181,1.0049999952316284,-0.076819376586412,"vetro, thick 1mm, temp 38C"
2,1751981268674595355,1.003999948501587,-0.0704022369189679,"vetro, thick 1mm, temp 38C"
2,1751981268774792194,1.0019999742507937,-0.0645215908106415,"vetro, thick 1mm, temp 38C"
2,1751981268874761104,0.9980000257492064,-0.0630330383474601,"vetro, thick 1mm, temp 38C"
2,1751981268974804639,0.9959999918937684,-0.0602307351290188,"vetro, thick 1mm, temp 38C"
2,1751981269074860095,0.9959999918937684,-0.0534368403903709,"vetro, thick 1mm, temp 38C"
2,1751981269174785852,0.9929999709129332,-0.0506985540988029,"vetro, thick 1mm, temp 38C"
2,1751981269274584293,0.99099999666214,-0.0483938775984706,"vetro, thick 1mm, temp 38C"
2,1751981269374661684,0.9890000224113464,-0.0465090907808736,"vetro, thick 1mm, temp 38C"
2,1751981269474804639,0.9890000224113464,-0.0413997270699725,"vetro, thick 1mm, temp 38C"
2,1751981269574534654,0.9879999756813048,-0.0369702475294082,"vetro, thick 1mm, temp 38C"
2,1751981269674745321,0.9850000143051147,-0.0368724107540272,"vetro, thick 1mm, temp 38C"
2,1751981269774840593,0.984000027179718,-0.035305930591942,"vetro, thick 1mm, temp 38C"
2,1751981269974799156,0.984000027179718,-0.0313608215592455,"vetro, thick 1mm, temp 38C"
2,1751981270074357509,0.9819999933242798,-0.030205305132681,"vetro, thick 1mm, temp 38C"
