Experiment,Timestamp,temperature [C],delta_t [C/s],notes
2,1752508804856233835,0.9559999704360962,-0.0141893716925841,"plastica, thick 2mm, temp 38C"
2,1752508804956359148,0.953000009059906,-0.0218982651387458,"plastica, thick 2mm, temp 38C"
2,1752508805056144714,0.9509999752044678,-0.0273048400046668,"plastica, thick 2mm, temp 38C"
2,1752508805156376123,0.9480000138282776,-0.0328965565656903,"plastica, thick 2mm, temp 38C"
2,1752508805256411314,0.9459999799728394,-0.0362758685294685,"plastica, thick 2mm, temp 38C"
2,1752508805356362581,0.9430000185966492,-0.0400668337012099,"plastica, thick 2mm, temp 38C"
2,1752508805456299304,0.9409999847412108,-0.0419184525420432,"plastica, thick 2mm, temp 38C"
2,1752508805556320428,0.9399999976158142,-0.0408530618709819,"plastica, thick 2mm, temp 38C"
2,1752508805656338453,0.9380000233650208,-0.0402541985252017,"plastica, thick 2mm, temp 38C"
2,1752508805756333112,0.9350000023841858,-0.0417379153840042,"plastica, thick 2mm, temp 38C"
2,1752508805856398582,0.9350000023841858,-0.0387085242602571,"plastica, thick 2mm, temp 38C"
2,1752508805956014156,0.9350000023841858,-0.0337403554261978,"plastica, thick 2mm, temp 38C"
2,1752508806055978775,0.930999994277954,-0.0354693353003679,"plastica, thick 2mm, temp 38C"
2,1752508806156342029,0.930999994277954,-0.0331242952616782,"plastica, thick 2mm, temp 38C"
2,1752508806256295919,0.9300000071525574,-0.0307940158948834,"plastica, thick 2mm, temp 38C"
2,1752508806356376171,0.9290000200271606,-0.0286806944003286,"plastica, thick 2mm, temp 38C"
2,1752508806456376314,0.9290000200271606,-0.0286806944003286,"plastica, thick 2mm, temp 38C"
2,1752508806556376457,0.9269999861717224,-0.028663965311756,"plastica, thick 2mm, temp 38C"
2,1752508806656345129,0.925000011920929,-0.0296759648317254,"plastica, thick 2mm, temp 38C"
2,1752508806756349086,0.9259999990463256,-0.025701030935941,"plastica, thick 2mm, temp 38C"
2,1752508806856355428,0.925000011920929,-0.0232401973684862,"plastica, thick 2mm, temp 38C"
2,1752508806956220388,0.921999990940094,-0.0253428089227726,"plastica, thick 2mm, temp 38C"
2,1752508807056347370,0.921999990940094,-0.0240922357813235,"plastica, thick 2mm, temp 38C"
2,1752508807156075716,0.9210000038146972,-0.0231111305474085,"plastica, thick 2mm, temp 38C"
2,1752508807256409168,0.9210000038146972,-0.0205503872335235,"plastica, thick 2mm, temp 38C"
2,1752508807356350660,0.9190000295639038,-0.0210460418101308,"plastica, thick 2mm, temp 38C"
2,1752508807456369400,0.9179999828338624,-0.0211948529038314,"plastica, thick 2mm, temp 38C"
2,1752508807556346178,0.9179999828338624,-0.0193602335783999,"plastica, thick 2mm, temp 38C"
2,1752508807656337499,0.9179999828338624,-0.0167188490868823,"plastica, thick 2mm, temp 38C"
2,1752508807756349086,0.9169999957084656,-0.0157198510939333,"plastica, thick 2mm, temp 38C"
2,1752508807856336116,0.9169999957084656,-0.0138155554789341,"plastica, thick 2mm, temp 38C"
2,1752508807956362009,0.9160000085830688,-0.0134390274601947,"plastica, thick 2mm, temp 38C"
2,1752508808056377410,0.9160000085830688,-0.0120450162595947,"plastica, thick 2mm, temp 38C"
2,1752508808156378507,0.9139999747276306,-0.013877960247726,"plastica, thick 2mm, temp 38C"
2,1752508808256372928,0.9139999747276306,-0.0135270863796151,"plastica, thick 2mm, temp 38C"
2,1752508808356876611,0.9139999747276306,-0.0121377204100755,"plastica, thick 2mm, temp 38C"
2,1752508808456521987,0.9139999747276306,-0.0103645362480944,"plastica, thick 2mm, temp 38C"
2,1752508808556164503,0.9139999747276306,-0.0103645362480944,"plastica, thick 2mm, temp 38C"
2,1752508808656472921,0.912999987602234,-0.0103628445721091,"plastica, thick 2mm, temp 38C"
2,1752508808756298542,0.9110000133514404,-0.0130293132908146,"plastica, thick 2mm, temp 38C"
2,1752508808856391906,0.9120000004768372,-0.0113632679410929,"plastica, thick 2mm, temp 38C"
2,1752508808956409454,0.9110000133514404,-0.011324188430745,"plastica, thick 2mm, temp 38C"
2,1752508809056392669,0.9100000262260436,-0.0120858393376215,"plastica, thick 2mm, temp 38C"
2,1752508809156428813,0.9100000262260436,-0.0113713227416051,"plastica, thick 2mm, temp 38C"
2,1752508809256542682,0.9100000262260436,-0.0099977905628127,"plastica, thick 2mm, temp 38C"
2,1752508809356452703,0.9089999794960022,-0.010225042758626,"plastica, thick 2mm, temp 38C"
2,1752508809456397533,0.9089999794960022,-0.009416142486298,"plastica, thick 2mm, temp 38C"
2,1752508809556593894,0.9089999794960022,-0.0081723285290904,"plastica, thick 2mm, temp 38C"
2,1752508809656489372,0.9089999794960022,-0.0068273501224405,"plastica, thick 2mm, temp 38C"
2,1752508809756598472,0.906000018119812,-0.0109537796693048,"plastica, thick 2mm, temp 38C"
2,1752508809856462955,0.9070000052452089,-0.0101899131513169,"plastica, thick 2mm, temp 38C"
2,1752508809956290006,0.906000018119812,-0.0106985031995982,"plastica, thick 2mm, temp 38C"
2,1752508810056363821,0.906000018119812,-0.0099848470352923,"plastica, thick 2mm, temp 38C"
2,1752508810156348943,0.9070000052452089,-0.006936542455892,"plastica, thick 2mm, temp 38C"
2,1752508810255888938,0.906000018119812,-0.0066185612166698,"plastica, thick 2mm, temp 38C"
2,1752508810356380701,0.906000018119812,-0.0058670798999508,"plastica, thick 2mm, temp 38C"
2,1752508810456346988,0.906000018119812,-0.0049708168637629,"plastica, thick 2mm, temp 38C"
2,1752508810556409120,0.9049999713897704,-0.0058843585723669,"plastica, thick 2mm, temp 38C"
2,1752508810656350612,0.9049999713897704,-0.0058843585723669,"plastica, thick 2mm, temp 38C"
2,1752508810756259441,0.9039999842643738,-0.0076023785637839,"plastica, thick 2mm, temp 38C"
2,1752508810856413364,0.9049999713897704,-0.0059600174631235,"plastica, thick 2mm, temp 38C"
2,1752508810956059455,0.9049999713897704,-0.004618858952119,"plastica, thick 2mm, temp 38C"
2,1752508811056493759,0.9039999842643738,-0.0053459708017501,"plastica, thick 2mm, temp 38C"
2,1752508811156085968,0.9020000100135804,-0.00882107188734,"plastica, thick 2mm, temp 38C"
2,1752508811256356716,0.902999997138977,-0.0079299981237044,"plastica, thick 2mm, temp 38C"
2,1752508811356347799,0.9020000100135804,-0.0085796489741036,"plastica, thick 2mm, temp 38C"
2,1752508811456345319,0.9020000100135804,-0.0081258094831299,"plastica, thick 2mm, temp 38C"
2,1752508811556386232,0.9020000100135804,-0.007172105279071,"plastica, thick 2mm, temp 38C"
2,1752508811656355857,0.902999997138977,-0.0042593239182514,"plastica, thick 2mm, temp 38C"
2,1752508811756358623,0.9020000100135804,-0.0042486987245214,"plastica, thick 2mm, temp 38C"
2,1752508811856446266,0.9010000228881836,-0.0056610863201009,"plastica, thick 2mm, temp 38C"
2,1752508811956255197,0.8999999761581421,-0.0076437425872003,"plastica, thick 2mm, temp 38C"
2,1752508812056331157,0.9010000228881836,-0.0061272232111564,"plastica, thick 2mm, temp 38C"
2,1752508812156434774,0.9010000228881836,-0.0048326786278909,"plastica, thick 2mm, temp 38C"
2,1752508812256360292,0.8999999761581421,-0.0055634948196552,"plastica, thick 2mm, temp 38C"
2,1752508812356339454,0.8999999761581421,-0.0054208802198506,"plastica, thick 2mm, temp 38C"
2,1752508812456430673,0.8989999890327454,-0.0066630966718739,"plastica, thick 2mm, temp 38C"
2,1752508812556559085,0.8999999761581421,-0.0048721272071824,"plastica, thick 2mm, temp 38C"
2,1752508812656531095,0.8989999890327454,-0.0053560375465513,"plastica, thick 2mm, temp 38C"
2,1752508812756372690,0.8989999890327454,-0.0053560375465513,"plastica, thick 2mm, temp 38C"
2,1752508812856374740,0.8989999890327454,-0.0051111102336524,"plastica, thick 2mm, temp 38C"
2,1752508812956401348,0.8980000019073486,-0.0063310727550172,"plastica, thick 2mm, temp 38C"
2,1752508813056447744,0.8989999890327454,-0.0045590810168202,"plastica, thick 2mm, temp 38C"
2,1752508813156326293,0.8980000019073486,-0.005080464599304,"plastica, thick 2mm, temp 38C"
2,1752508813256426334,0.8980000019073486,-0.0048787007407839,"plastica, thick 2mm, temp 38C"
2,1752508813356382131,0.8980000019073486,-0.0043407533834384,"plastica, thick 2mm, temp 38C"
2,1752508813456356525,0.8980000019073486,-0.0036864913738297,"plastica, thick 2mm, temp 38C"
2,1752508813556473493,0.8980000019073486,-0.0030341187654768,"plastica, thick 2mm, temp 38C"
2,1752508813656342744,0.8970000147819519,-0.0042413623242051,"plastica, thick 2mm, temp 38C"
2,1752508813756364345,0.8980000019073486,-0.0026512122330896,"plastica, thick 2mm, temp 38C"
2,1752508813856367111,0.8970000147819519,-0.0034334064131791,"plastica, thick 2mm, temp 38C"
2,1752508813955968618,0.8980000019073486,-0.0017076981585227,"plastica, thick 2mm, temp 38C"
2,1752508814056404590,0.8960000276565552,-0.0043083619309024,"plastica, thick 2mm, temp 38C"
2,1752508814156348228,0.8970000147819519,-0.0033949577798732,"plastica, thick 2mm, temp 38C"
2,1752508814256355047,0.8960000276565552,-0.0044418203713942,"plastica, thick 2mm, temp 38C"
2,1752508814355918645,0.8960000276565552,-0.0045550192078141,"plastica, thick 2mm, temp 38C"
2,1752508814456131935,0.8960000276565552,-0.0042005349089566,"plastica, thick 2mm, temp 38C"
2,1752508814556331872,0.8949999809265137,-0.0054488735747851,"plastica, thick 2mm, temp 38C"
2,1752508814656393527,0.8949999809265137,-0.0055701608993105,"plastica, thick 2mm, temp 38C"
2,1752508814756358385,0.8939999938011169,-0.0069282540331041,"plastica, thick 2mm, temp 38C"
2,1752508814855876445,0.8939999938011169,-0.0069282540331041,"plastica, thick 2mm, temp 38C"
